행정구역,연도,구분,인구수
경기도 안산시 상록구 본오3동,2021,남+여,19572
경기도 안산시 상록구 본오3동,2021,여,9829
경기도 안산시 상록구 본오3동,2022,남,9563
경기도 안산시 상록구 본오3동,2022,남+여,19210
경기도 안산시 상록구 본오3동,2022,여,9647
경기도 안산시 상록구 본오3동,2023,남,9292
경기도 안산시 상록구 본오3동,2023,남+여,18627
경기도 안산시 상록구 본오3동,2023,여,9335
경기도 안산시 상록구 본오3동,2024,남,9071
경기도 안산시 상록구 본오3동,2024,남+여,18120
경기도 안산시 상록구 본오3동,2024,여,9049
경기도 안산시 상록구 본오3동,2025,남,8891
경기도 안산시 상록구 본오3동,2025,남+여,17813
경기도 안산시 상록구 본오3동,2025,여,8922
경기도 안산시 상록구 부곡동,2016,남,12372
경기도 안산시 상록구 부곡동,2016,남+여,24243
경기도 안산시 상록구 부곡동,2016,여,11871
경기도 안산시 상록구 부곡동,2017,남,12430
경기도 안산시 상록구 부곡동,2017,남+여,24274
경기도 안산시 상록구 부곡동,2017,여,11844
경기도 안산시 상록구 부곡동,2018,남,12059
경기도 안산시 상록구 부곡동,2018,남+여,23450
경기도 안산시 상록구 부곡동,2018,여,11391
경기도 안산시 상록구 부곡동,2019,남,11682
경기도 안산시 상록구 부곡동,2019,남+여,22697
경기도 안산시 상록구 부곡동,2019,여,11015
경기도 안산시 상록구 부곡동,2020,남,11328
경기도 안산시 상록구 부곡동,2020,남+여,21944
경기도 안산시 상록구 부곡동,2020,여,10616
경기도 안산시 상록구 부곡동,2021,남,11108
경기도 안산시 상록구 부곡동,2021,남+여,21624
경기도 안산시 상록구 부곡동,2021,여,10516
경기도 안산시 상록구 부곡동,2022,남,10950
경기도 안산시 상록구 부곡동,2022,남+여,21327
경기도 안산시 상록구 부곡동,2022,여,10377
경기도 안산시 상록구 부곡동,2023,남,10673
경기도 안산시 상록구 부곡동,2023,남+여,20808
경기도 안산시 상록구 부곡동,2023,여,10135
경기도 안산시 상록구 부곡동,2024,남,10386
경기도 안산시 상록구 부곡동,2024,남+여,20217
경기도 안산시 상록구 부곡동,2024,여,9831
경기도 안산시 상록구 부곡동,2025,남,10222
경기도 안산시 상록구 부곡동,2025,남+여,19840
경기도 안산시 상록구 부곡동,2025,여,9618
경기도 안산시 상록구 사동,2016,남,20104
경기도 안산시 상록구 사동,2016,남+여,38752
경기도 안산시 상록구 사동,2016,여,18648
경기도 안산시 상록구 사동,2017,남,19917
경기도 안산시 상록구 사동,2017,남+여,38273
경기도 안산시 상록구 사동,2017,여,18356
경기도 안산시 상록구 사동,2018,남,18726
경기도 안산시 상록구 사동,2018,남+여,36034
경기도 안산시 상록구 사동,2018,여,17308
경기도 안산시 상록구 사동,2019,남,18031
경기도 안산시 상록구 사동,2019,남+여,34674
경기도 안산시 상록구 사동,2019,여,16643
